w_velocity,w_safety,w_comfort,total_energy,energy_per_km,rms_jerk,min_thw,avg_velocity,collision
0.05,0.05,0.9,100.81372639155961,93.71163026513348,0.31154795682989717,0.4211072325706482,7.578624248504639,False
0.05,0.135,0.815,748.5335252081086,133.59568530431966,0.18768603243046394,0.6849373579025269,10.867959022521973,False
0.05,0.22,0.73,1479.0242543994157,129.3406222134273,0.20392537098627103,1.6067718267440796,8.35258674621582,False
0.05,0.305,0.645,1503.0941559636638,131.2306395199816,0.18257126179024727,2.051860809326172,8.366265296936035,False
0.05,0.39,0.56,1498.052695423428,130.6157390379753,0.15378304787344063,2.0651721954345703,8.377457618713379,False
0.05,0.475,0.475,1468.8896997598022,127.94955044155452,0.13063148481543366,2.0730676651000977,8.385540962219238,False
0.05,0.56,0.39,1442.982327438371,125.64349686887164,0.11295997039002724,2.0814802646636963,8.388834953308105,False
0.05,0.645,0.305,1411.2201753923553,122.86755412588282,0.1019333256605373,2.092250347137451,8.389540672302246,False
0.05,0.73,0.22,1373.3008929462494,119.56501870905136,0.10085081403273062,2.1082277297973633,8.389617919921875,False
0.05,0.815,0.135,1340.0272114044683,116.66883570953291,0.11460693730817241,2.1340367794036865,8.389564514160156,False
0.05,0.9,0.05,1336.3167642589772,116.34783540896629,0.09758478885092668,2.0944066047668457,8.389416694641113,False
0.135,0.05,0.815,3.9992039449982544,105.47603615946079,0.18110214326789278,1.2758268117904663,2.2703447341918945,False
0.135,0.135,0.73,1378.7086412810336,120.12056521310579,0.1297685521820387,1.7975388765335083,8.383700370788574,False
0.135,0.22,0.645,1400.4451089243191,121.93691768849433,0.12085350187028365,2.085639476776123,8.389025688171387,False
0.135,0.305,0.56,1398.0758770142993,121.71757014141812,0.10777835556998211,2.1019773483276367,8.389925003051758,False
0.135,0.39,0.475,1388.594164449134,120.89271725030122,0.09906535299137537,2.106443166732788,8.38988208770752,False
0.135,0.475,0.39,1355.5327171135573,118.01536600123244,0.0944559457211322,2.1142237186431885,8.389808654785156,False
0.135,0.56,0.305,1342.1989459987137,116.85518061475588,0.09833734346634797,2.1249327659606934,8.38976001739502,False
0.135,0.645,0.22,1340.4034497440987,116.6993834733394,0.10961690795584521,2.129357099533081,8.38972282409668,False
0.135,0.73,0.135,1339.6872189623678,116.63756868435564,0.10805019906332876,2.1065151691436768,8.389684677124023,False
0.135,0.815,0.05,1339.0479026139174,116.58247881447923,0.09969305271453976,2.0617928504943848,8.389642715454102,False
0.22,0.05,0.73,5.601686684734415,148.58495355330373,0.3335429188583485,0.9086698889732361,2.9452521800994873,False
0.22,0.135,0.645,1363.7698654637898,118.71687539831413,0.0962013192487421,2.057011365890503,8.390913963317871,False
0.22,0.22,0.56,1353.3082093117916,117.81429098522905,0.0923800117580213,2.1201770305633545,8.390336990356445,False
0.22,0.305,0.475,1342.4751765970773,116.87484371577668,0.09496624166868442,2.124889373779297,8.390074729919434,False
0.22,0.39,0.39,1341.2604122474197,116.77111354377092,0.10043134823084747,2.1257829666137695,8.38992977142334,False
0.22,0.475,0.305,1340.4745856723773,116.70393918148203,0.10940854267063804,2.125764846801758,8.389840126037598,False
0.22,0.56,0.22,1339.885535885942,116.65344006081857,0.11394041374119272,2.107372522354126,8.38978385925293,False
0.22,0.645,0.135,1339.4252793531523,116.61384352909091,0.09910965523786425,2.071552038192749,8.389749526977539,False
0.22,0.73,0.05,1338.9116357264984,116.56927923970483,0.1024986162396549,2.0582082271575928,8.389739036560059,False
0.305,0.05,0.645,6.889688737165222,184.56676998491486,0.5557702429507284,0.7809869647026062,3.408947706222534,False
0.305,0.135,0.56,1333.6050078015323,116.08862842061785,0.09664421845381803,2.101372480392456,8.391085624694824,False
0.305,0.22,0.475,1336.5886891962152,116.35747272437084,0.10278950223050975,2.116724729537964,8.390429496765137,False
0.305,0.305,0.39,1337.7656425730174,116.46406178520834,0.109763814929848,2.1201469898223877,8.390130996704102,False
0.305,0.39,0.305,1338.1750871591162,116.50203858417257,0.11722653233663909,2.107354164123535,8.389963150024414,False
0.305,0.475,0.22,1338.2634965959041,116.51118658436793,0.11176485935687594,2.0785329341888428,8.389859199523926,False
0.305,0.56,0.135,1338.2208608033106,116.50833559000563,0.09801537440364323,2.0637693405151367,8.38979721069336,False
0.305,0.645,0.05,1337.997986446638,116.48926052477483,0.10541923158775499,2.0566906929016113,8.38977336883545,False
0.39,0.05,0.56,7.899165300642551,214.17789999545064,0.7838067051003412,0.7260308861732483,3.7441956996917725,False
0.39,0.135,0.475,8.05420966335012,212.33507533312795,0.6910588323880711,2.487006187438965,2.4791243076324463,False
0.39,0.22,0.39,1331.9188636531599,115.94980253870608,0.11783966732063895,2.106175422668457,8.390510559082031,False
0.39,0.305,0.305,1334.1746953118445,116.15084089226087,0.11789565606844048,2.0829172134399414,8.39017391204834,False
0.39,0.39,0.22,1335.4331598457284,116.26305505195539,0.10824650347114884,2.0682570934295654,8.389983177185059,False
0.39,0.475,0.135,1336.1353815681423,116.32580352114313,0.10261367537608686,2.0606014728546143,8.38986587524414,False
0.39,0.56,0.05,1336.4792687170852,116.35654466701857,0.10882931443844471,2.0556976795196533,8.389808654785156,False
0.475,0.05,0.475,8.724918309559095,240.02080640935262,0.9963313239504135,0.7155748605728149,3.9944698810577393,False
0.475,0.135,0.39,8.69265248945584,230.0447274738696,0.8441885454448623,2.474172592163086,2.8410370349884033,False
0.475,0.22,0.305,1328.0631734004146,115.61327310793737,0.11646286822717518,2.07102632522583,8.39057445526123,False
0.475,0.305,0.22,1331.120991832769,115.88469271735332,0.10749116709099651,2.0633792877197266,8.390195846557617,False
0.475,0.39,0.135,1333.0035417886593,116.0515609659624,0.10811822181894797,2.058687925338745,8.38998031616211,False
0.475,0.475,0.05,1334.2444906546225,116.16124744253543,0.11278853252519366,2.0548722743988037,8.389862060546875,False
0.56,0.05,0.39,9.341760766166923,257.6820381744766,1.0840014790434287,0.67998868227005,4.096277713775635,False
0.56,0.135,0.305,9.07886854292714,240.98945572066256,0.7373749627610289,2.474794626235962,3.001777172088623,False
0.56,0.22,0.22,1324.7963742121015,115.32840628466514,0.11034171852716411,2.059786796569824,8.390608787536621,False
0.56,0.305,0.135,1328.5362319842689,115.6598032064885,0.11421146956547809,2.0569686889648438,8.390186309814453,False
0.56,0.39,0.05,1331.1156981946203,115.88756092339368,0.11923291891463911,2.0540287494659424,8.389954566955566,False
0.645,0.05,0.305,9.72732195690466,269.049765233056,0.9272146408448625,0.6823472380638123,4.131813049316406,False
0.645,0.135,0.22,9.31452302710925,247.5688154070689,0.6163804659292471,2.488212823867798,3.071263313293457,False
0.645,0.22,0.135,1322.066865487841,115.09097403599577,0.1243022715619852,2.0501554012298584,8.390595436096191,False
0.645,0.305,0.05,1326.7172888803943,115.5022358718676,0.13190646261018346,2.052609443664551,8.390129089355469,False
0.73,0.05,0.22,9.95174894275442,275.46846463591777,0.9486463421816691,0.6970824599266052,4.128643989562988,False
0.73,0.135,0.135,9.416798887780978,250.19101848081812,0.705677994880391,2.3362419605255127,3.072443962097168,False
0.73,0.22,0.05,1320.2218155628298,114.93161489688677,0.15319625004785897,2.0386555194854736,8.390503883361816,False
0.815,0.05,0.135,10.04058500251305,276.57164259002207,1.1372250385389477,0.7144172787666321,4.0789594650268555,False
0.815,0.135,0.05,9.386808587045325,249.12961604443993,0.8172891620370758,2.368088483810425,3.014193058013916,False
0.9,0.05,0.05,9.993826138066616,273.92974625163833,1.427634832681612,0.7872868776321411,3.9871225357055664,False
